time_s,beam_id,rnti,dl_mcs,buf_req,alloc_rbg
1.614500,[Sector: 0 elevation: 0.000000],8,25,3085,338
1.614500,[Sector: 0 elevation: 0.000000],7,25,2264,247
1.614500,[Sector: 0 elevation: 0.000000],6,27,3085,312
1.614500,[Sector: 0 elevation: 0.000000],5,27,3085,312
1.614500,[Sector: 0 elevation: 0.000000],4,27,2952,299
1.614500,[Sector: 0 elevation: 0.000000],3,27,2264,234
1.614500,[Sector: 0 elevation: 0.000000],2,27,2952,299
1.614500,[Sector: 0 elevation: 0.000000],1,27,2952,299
1.624500,[Sector: 0 elevation: 0.000000],8,27,552,65
1.624500,[Sector: 0 elevation: 0.000000],6,17,552,91
1.624500,[Sector: 0 elevation: 0.000000],5,27,552,65
1.624500,[Sector: 0 elevation: 0.000000],4,27,552,65
1.624500,[Sector: 0 elevation: 0.000000],2,27,552,65
1.624500,[Sector: 0 elevation: 0.000000],1,27,552,65
1.800500,[Sector: 0 elevation: 0.000000],9,15,12224,390
1.800500,[Sector: 0 elevation: 0.000000],8,27,12224,377
1.800500,[Sector: 0 elevation: 0.000000],7,25,12224,390
1.800500,[Sector: 0 elevation: 0.000000],6,23,12224,377
1.800500,[Sector: 0 elevation: 0.000000],5,27,12224,377
1.800500,[Sector: 0 elevation: 0.000000],4,27,12224,377
1.800500,[Sector: 0 elevation: 0.000000],3,25,12224,390
1.800500,[Sector: 0 elevation: 0.000000],2,27,12224,390
1.800500,[Sector: 0 elevation: 0.000000],1,27,12224,390
1.801500,[Sector: 0 elevation: 0.000000],9,15,10141,377
1.801500,[Sector: 0 elevation: 0.000000],8,27,8382,390
1.801500,[Sector: 0 elevation: 0.000000],7,25,8549,377
1.801500,[Sector: 0 elevation: 0.000000],6,23,9045,390
1.801500,[Sector: 0 elevation: 0.000000],5,27,8382,390
1.801500,[Sector: 0 elevation: 0.000000],4,27,8382,390
1.801500,[Sector: 0 elevation: 0.000000],3,25,8549,390
1.801500,[Sector: 0 elevation: 0.000000],2,27,8249,377
1.801500,[Sector: 0 elevation: 0.000000],1,27,8249,377
1.802000,[Sector: 0 elevation: 0.000000],9,15,8128,390
