time_s,beam_id,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode
6.5015,[Sector: 0 elevation: 0.000000],5332.29021,1,dynamic_continuous_30s,bw100,100,rr
6.502,[Sector: 0 elevation: 0.000000],5338.9637028,1,dynamic_continuous_30s,bw100,100,rr
6.5025,[Sector: 0 elevation: 0.000000],2067.0897311999997,1,dynamic_continuous_30s,bw100,100,rr
6.503,[Sector: 0 elevation: 0.000000],9.5722614,1,dynamic_continuous_30s,bw100,100,rr
6.513,[Sector: 0 elevation: 0.000000],4185.8174825999995,1,dynamic_continuous_30s,bw100,100,rr
6.514,[Sector: 0 elevation: 0.000000],13.216109399999999,1,dynamic_continuous_30s,bw100,100,rr
6.523,[Sector: 0 elevation: 0.000000],730.1897460000001,1,dynamic_continuous_30s,bw100,100,rr
6.6005,[Sector: 0 elevation: 0.000000],5318.530308,1,dynamic_continuous_30s,bw100,100,rr
6.6015,[Sector: 0 elevation: 0.000000],5314.4277966,1,dynamic_continuous_30s,bw100,100,rr
6.602,[Sector: 0 elevation: 0.000000],5329.7649756,1,dynamic_continuous_30s,bw100,100,rr
6.6025,[Sector: 0 elevation: 0.000000],2059.0601382,1,dynamic_continuous_30s,bw100,100,rr
6.614,[Sector: 0 elevation: 0.000000],3584.4910686,1,dynamic_continuous_30s,bw100,100,rr
6.624,[Sector: 0 elevation: 0.000000],543.67326,1,dynamic_continuous_30s,bw100,100,rr
6.7005,[Sector: 0 elevation: 0.000000],4891.9701636,1,dynamic_continuous_30s,bw100,100,rr
6.7015,[Sector: 0 elevation: 0.000000],4912.303312800001,1,dynamic_continuous_30s,bw100,100,rr
6.702,[Sector: 0 elevation: 0.000000],4904.4944988,1,dynamic_continuous_30s,bw100,100,rr
6.7025,[Sector: 0 elevation: 0.000000],2884.8038309999997,1,dynamic_continuous_30s,bw100,100,rr
6.703,[Sector: 0 elevation: 0.000000],17.1865512,1,dynamic_continuous_30s,bw100,100,rr
6.7125,[Sector: 0 elevation: 0.000000],3063.1944564,1,dynamic_continuous_30s,bw100,100,rr
6.713,[Sector: 0 elevation: 0.000000],1193.2162164,1,dynamic_continuous_30s,bw100,100,rr
6.7225,[Sector: 0 elevation: 0.000000],543.67326,1,dynamic_continuous_30s,bw100,100,rr
6.723,[Sector: 0 elevation: 0.000000],203.482656,1,dynamic_continuous_30s,bw100,100,rr
6.8005,[Sector: 0 elevation: 0.000000],5774.5431666,1,dynamic_continuous_30s,bw100,100,rr
6.8015,[Sector: 0 elevation: 0.000000],5774.5431666,1,dynamic_continuous_30s,bw100,100,rr
6.802,[Sector: 0 elevation: 0.000000],5774.5431666,1,dynamic_continuous_30s,bw100,100,rr
6.8025,[Sector: 0 elevation: 0.000000],1130.9080067999998,1,dynamic_continuous_30s,bw100,100,rr
6.815,[Sector: 0 elevation: 0.000000],4392.637282799999,1,dynamic_continuous_30s,bw100,100,rr
6.825,[Sector: 0 elevation: 0.000000],762.1207542000001,1,dynamic_continuous_30s,bw100,100,rr
6.9005,[Sector: 0 elevation: 0.000000],5316.781977,1,dynamic_continuous_30s,bw100,100,rr
6.9015,[Sector: 0 elevation: 0.000000],5325.6624642,1,dynamic_continuous_30s,bw100,100,rr
