time_s,beam_id,backlog_total_bytes,ues_com_backlog,ues_atendidos,starvation_real_pct,vazao_estimada_mbps,seed,scenario,bandwidth,bandwidth_mhz,mode,jain_backlog,jain_alocacao
4.402,[Sector: 0 elevation: 0.000000],45074,9,9,0.0,5340.0739625999995,1,dynamic_continuous_30s,bw100,100,rr,0.9327704183755543,0.9997174183338985
4.4025,[Sector: 0 elevation: 0.000000],12635,9,9,0.0,1950.3704375999998,1,dynamic_continuous_30s,bw100,100,rr,0.328405458418808,0.21588875120473633
4.403,[Sector: 0 elevation: 0.000000],10,1,1,0.0,7.6142898,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
4.4125,[Sector: 0 elevation: 0.000000],22639,8,8,0.0,3793.645557,1,dynamic_continuous_30s,bw100,100,rr,0.87683868431297,0.8462809917355372
4.413,[Sector: 0 elevation: 0.000000],3558,1,1,0.0,596.6081082,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
4.4225,[Sector: 0 elevation: 0.000000],3312,6,6,0.0,628.4484180000001,1,dynamic_continuous_30s,bw100,100,rr,0.6666666666666666,0.6538952745849298
4.423,[Sector: 0 elevation: 0.000000],552,1,1,0.0,101.741328,1,dynamic_continuous_30s,bw100,100,rr,0.1111111111111111,0.1111111111111111
4.6005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5655.570336,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
4.6015,[Sector: 0 elevation: 0.000000],76026,9,9,0.0,5649.7194936,1,dynamic_continuous_30s,bw100,100,rr,0.9990916346966566,0.9997174183338985
4.602,[Sector: 0 elevation: 0.000000],42069,9,9,0.0,5657.3186670000005,1,dynamic_continuous_30s,bw100,100,rr,0.9912152347038923,0.9997174183338985
4.6025,[Sector: 0 elevation: 0.000000],8069,9,9,0.0,1452.2830686,1,dynamic_continuous_30s,bw100,100,rr,0.6167889217486101,0.6088794926004228
4.6145,[Sector: 0 elevation: 0.000000],23759,9,9,0.0,4056.112008,1,dynamic_continuous_30s,bw100,100,rr,0.9366319068908805,0.9675699689027099
4.6245,[Sector: 0 elevation: 0.000000],3312,6,6,0.0,654.1562430000001,1,dynamic_continuous_30s,bw100,100,rr,0.6666666666666666,0.6666666666666666
4.8005,[Sector: 0 elevation: 0.000000],110016,9,9,0.0,5255.8139556,1,dynamic_continuous_30s,bw100,100,rr,1.0,0.9997174183338985
4.8015,[Sector: 0 elevation: 0.000000],78037,9,9,0.0,5264.0189784,1,dynamic_continuous_30s,bw100,100,rr,0.9955997607117548,0.9997174183338985
